Title;Company;Location;Salary;Seniority
MS Dynamics 365 Business Central jaunesnysis programuotojas (-a);Digmatix;Vilnius / Remote;€ 1600 – 2500;Unspecified
Senior Data Analyst;Kilo Health - UAB Kilo grupė;Vilnius;€ 4000 – 5200;Senior
Mid/Senior Site Reliability Engineer with passion for innovation | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;Senior
Mid/Senior Site Reliability Engineer with passion for innovation | SEB, Kaunas;SEB;Kaunas;€ 2850 – 5450;Senior
Junior Data Analyst;Kilo Health - UAB Kilo grupė;Vilnius;€ 2000 – 2500;Junior
Embedded Developer;Yukon Advanced Optics Worldwide, UAB;Vilnius;€ 4000 – 6000;Unspecified
CISO;CAML UAB;Vilnius / Remote;€ 5300 – 7800;Unspecified
IT inžinierius (-ė) MS Windows infrastruktūros valdymui ir administravimui;CV-Online klientas;Vilnius;€ 3300 – 3500;Unspecified
Java/ Angular Software Developer at Financing & Loans Tribe | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;Unspecified
Senior Dynamics 365 and Power Platform Solution Developer | SEB, Vilnius;SEB;Vilnius;€ 4350 – 6300;Senior
KOMPIUTERIZUOTŲ DARBO VIETŲ PRIEŽIŪROS INŽINIERĖ (-IUS);Ignitis Group;Vilnius;€ 1755 – 2632;Unspecified
SAS Developer | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;Unspecified
POWER PLATFORM DEVELOPER (F/M/D);Ignitis Group;Vilnius;€ 3121 – 4683;Unspecified
SENIOR POWER PLATFORM DEVELOPER (F/M/D);Ignitis Group;Vilnius;€ 3466 – 5199;Senior
Business Analyst;FL Technics;Vilnius / Remote;€ 3300 – 3650;Unspecified
DATA HUB IT TESTUOTOJA (-AS) / QA TESTER;Ignitis Group;Vilnius;€ 2240 – 3361;Unspecified
IT LICENSE ADMINISTRATOR (F/M/D);Ignitis Group;Vilnius;€ 2379 – 3568;Unspecified
